ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source
LEGA,20,2022-05-20,2022-06-08,1196442,,
TWNI,20,2022-10-20,2022-11-08,1084023,,
BFAC,20,2024-10-10,2024-10-29,1042684,,
ESM,20,2022-05-12,2022-05-31,977717,,
HHLA,20,2023-12-15,2024-01-03,941164,,
KLAQ,20,2022-07-28,2022-08-16,877084,,
VCIC,20,2025-06-06,2025-06-25,812139,,
KWAC,20,2022-06-17,2022-07-06,383857,,
FNWD,20,2022-08-24,2022-09-12,242526,,
XTLB,20,2022-11-18,2022-12-07,175891,,
GAINZ,20,2023-09-28,2023-10-17,97256,,
OXLCO,20,2025-05-02,2025-05-21,60788,,
VIAO,20,2023-05-04,2023-05-23,45323,,
STET,19,2022-07-01,2022-07-19,1618212,,
ABL,19,2023-05-22,2023-06-09,1166944,,
LNZA,19,2022-07-07,2022-07-25,1157726,,
LOKV,19,2025-05-09,2025-05-27,1137341,,
BIOT,19,2022-12-05,2022-12-23,1053377,,
NSTB,19,2023-02-10,2023-02-28,944945,,
HCII,19,2022-09-29,2022-10-17,935618,,
RXRA,19,2022-07-08,2022-07-26,920698,,
ASAX,19,2022-09-09,2022-09-27,787065,,
JWEL,19,2024-01-25,2024-02-12,730872,,
FTEV,19,2022-08-05,2022-08-23,660812,,
AMBI,19,2024-01-26,2024-02-13,610225,,
GHAC,19,2022-08-29,2022-09-16,532633,,
RANG,19,2025-05-05,2025-05-23,414167,,
FOXW,19,2022-09-01,2022-09-19,336612,,
NYXH,19,2022-02-10,2022-02-28,331532,,
NSTS,19,2022-07-07,2022-07-25,112775,,
CULL,19,2022-11-21,2022-12-09,48387,,
SHLT,19,2023-07-10,2023-07-28,39440,,
GNLN,18,2022-02-22,2022-03-11,2289743,,
ACRO,18,2023-07-18,2023-08-04,1343005,,
CCIX,18,2024-11-01,2024-11-18,1055168,,
OACC,18,2025-07-22,2025-08-08,1039195,,
FTVI,18,2022-06-27,2022-07-14,949180,,
POND,18,2022-06-24,2022-07-11,801413,,
ARCK,18,2022-08-26,2022-09-12,650456,,
FGNX,18,2025-06-09,2025-06-26,371078,,
SPKL,18,2024-09-16,2024-10-03,360396,,
ANL,18,2024-01-16,2024-02-02,65698,,
AKO.A,18,2025-07-01,2025-07-18,34439,,
SANG,18,2022-03-11,2022-03-28,33322,,
DMN,17,2025-04-30,2025-05-16,2285833,,
AXIN,17,2025-08-19,2025-09-04,1429884,,
TRAQ,17,2022-12-05,2022-12-21,1389375,,
OEPW,17,2022-07-11,2022-07-27,1165802,,
FTAA,17,2022-08-15,2022-08-31,904043,,
SDHI,17,2025-08-18,2025-09-03,799643,,
SBXD,17,2025-03-11,2025-03-27,797413,,
IBAC,17,2025-07-28,2025-08-13,493067,,
VCXA,17,2023-07-24,2023-08-09,429314,,
VCKA,17,2022-09-13,2022-09-29,370829,,
PHIC,17,2022-06-21,2022-07-07,298351,,
OPOF,17,2022-08-17,2022-09-02,244592,,
MDRR,17,2025-07-23,2025-08-08,76385,,
POCI,17,2024-07-24,2024-08-09,58787,,
UNAM,17,2022-11-29,2022-12-15,22931,,
APGB,16,2023-09-13,2023-09-28,3063328,,
APVO,16,2022-10-26,2022-11-10,2084959,,
AILE,16,2022-02-15,2022-03-02,1800518,,
XHG,16,2022-09-26,2022-10-11,1468928,,
ASTI,16,2022-09-08,2022-09-23,1393823,,
CGCT,16,2025-07-17,2025-08-01,1357006,,
FRXB,16,2023-07-13,2023-07-28,1269920,,
IPXX,16,2023-09-28,2023-10-13,1166447,,
SNRH,16,2023-03-30,2023-04-14,1103132,,
