ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source,cut_off_date,counts
ATAC,842,2018-08-23,2020-12-11,2887833,,,,
NSH,837,2018-07-23,2020-11-05,3739195,,,,
LLL,835,2019-07-01,2021-10-12,83589131,,,,
ALPS,833,2023-07-21,2025-10-30,276735,,,,
SPRU,832,2018-09-12,2020-12-21,54970561,,,,
AGC,827,2018-08-27,2020-11-30,4987894,,,,
CPAA,817,2017-07-10,2019-10-04,1688537,,,,
ATHN,815,2019-02-12,2021-05-06,60131440,,,,
SI,812,2023-05-11,2025-07-30,77364567,,,,
BTE,811,2020-12-04,2023-02-22,18733082,,,,
ADPT,798,2017-04-20,2019-06-26,21121383,,,,
VAL,790,2017-06-01,2019-07-30,50790655,,,,
LINK,769,2019-02-15,2021-03-24,138858,,,,
TWLV,766,2019-03-25,2021-04-28,730345,,,,
HCP,765,2019-11-05,2021-12-08,96650615,,,,
KOR,765,2018-07-09,2020-08-11,296830,,,,
TOROV,765,2023-03-08,2025-04-10,249326,,,,
NIQ,758,2023-06-26,2025-07-22,1608846,,,,
TLF,755,2020-08-13,2022-09-06,73852,,,,
HLTH,751,2019-09-04,2021-09-23,1740174,,,,
BIOS,746,2020-02-03,2022-02-17,2645180,,,,
MNK,745,2020-10-12,2022-10-26,78763066,,,,
MSP,744,2018-10-08,2020-10-20,5508407,,,,
BIO.B,743,2015-10-22,2017-11-02,217681,,,,
GOED,739,2020-07-13,2022-07-21,15438950,,,,
EVLV,731,2019-07-17,2021-07-16,3666544,,,,
GRSH,730,2016-11-07,2018-11-06,3740449,,,,
TIG,729,2018-07-18,2020-07-15,1173051,,,,
MDXG,727,2018-11-08,2020-11-03,9452724,,,,
DCT,723,2018-08-22,2020-08-13,30207192,,,,
RNVA,722,2015-11-03,2017-10-24,,,,,
NHIC,722,2023-04-26,2025-04-16,1168229,,,,
AXON,712,2019-02-14,2021-01-25,115111085,,,,
DO,702,2020-04-27,2022-03-29,32825250,,,,
OLO,702,2019-04-15,2021-03-16,8434317,,,,
CBNK,702,2016-10-24,2018-09-25,540026,,,,
CD,695,2023-12-19,2025-11-12,16593772,,,,
TGNAw,689,2015-06-29,2017-05-17,7059173,,,,
DM,682,2019-01-28,2020-12-09,14957340,,,,
ALTM,680,2022-02-23,2024-01-03,21843814,,,,
SPRO,680,2015-12-23,2017-11-01,1840591,,,,
WPP,677,2016-01-21,2017-11-27,9198490,,,,
ALTR,674,2015-12-28,2017-10-31,44577196,,,,
PAAC,674,2017-08-16,2019-06-20,336083,,,,
OBE,667,2020-04-02,2022-01-28,2346706,,,,
APGN,656,2019-05-06,2021-02-19,611410,,,,
GAINL,652,2021-08-19,2023-06-01,218483,,,,
ROSE,647,2015-07-21,2017-04-27,7277850,,,,
ALF,646,2022-10-25,2024-07-31,20190336,,,,
DD,638,2017-09-01,2019-05-31,261819089,,,,
RTL,634,2020-05-22,2022-02-14,2736637,,,,
DERM,631,2020-02-20,2021-11-11,6091053,,,,
NES,631,2016-01-20,2017-10-11,635109,,,,
ADT,627,2016-05-02,2018-01-18,43959149,,,,
SES,627,2020-05-18,2022-02-03,5645851,,,,
EE,622,2020-07-30,2022-04-12,12104396,,,,
HSDT,622,2018-04-11,2019-12-23,2606296,,,,
VIA,614,2019-12-05,2021-08-09,2231580,,,,
GNLN,613,2019-05-07,2021-01-08,2908146,,,,
FISV,611,2021-10-04,2023-06-06,147417292,,,,
SVM,610,2015-09-11,2017-05-12,6922306,,,,
ATAI,610,2019-10-17,2021-06-17,3165249,,,,
CRKN,601,2021-01-27,2022-09-19,5149700,,,,
MLAC,599,2023-06-13,2025-01-31,686984,,,,
APAC,597,2024-04-03,2025-11-20,495985,,,,
GEN,592,2021-03-26,2022-11-07,32252170,,,,
CBIO,592,2023-10-31,2025-06-13,2188549,,,,
TEN,590,2022-11-17,2024-06-28,21778818,,,,
WSO.B,590,2023-06-21,2025-01-30,107189,,,,
DOW,578,2017-09-01,2019-04-01,310114847,,,,
SLNG,574,2019-10-03,2021-04-28,267409,,,,
ABTC,572,2024-02-09,2025-09-02,4626373,,,,
PMTS,566,2020-01-17,2021-08-04,950346,,,,
BNBX,555,2015-12-17,2017-06-23,5331433,,,,
HCMA,548,2024-03-21,2025-09-19,957162,,,,
ANGX,545,2024-03-15,2025-09-10,1762261,,,,
NESR,543,2023-04-28,2024-10-21,2324369,,,,
FACT,541,2023-07-18,2025-01-08,755999,,,,
HCC,533,2015-10-28,2017-04-12,30613031,,,,
FGMC,533,2023-08-28,2025-02-10,375272,,,,
CIVBP,533,2018-05-23,2019-11-06,82677,,,,
